round_epochs,val_loss,val_acc,loss,acc,hidden_unit,filters,kernel_size
5,1.2432517323247094,0.4523160764566884,0.7125365336712776,0.714369364038314,200,128,2
5,1.2255978264882281,0.4495912806810194,0.7063242097358288,0.7179997657735561,100,256,4
5,1.271006166014641,0.4468664852843081,0.74771198459665,0.6931725025791267,200,64,3
5,1.2388417074400981,0.46049046354007983,0.7111503604159505,0.7128469375525918,200,128,4
5,1.2185051494246717,0.4495912809787719,0.6831556952297024,0.7298278486663053,200,64,4
5,1.2244291568646963,0.45594913741873133,0.7180032049664458,0.7203419603610683,100,128,4
5,1.2498629938787378,0.45322434183254123,0.6883120516491573,0.7226841550463047,300,256,2
5,1.2516448026781837,0.43869209811971144,0.7114954905189415,0.709802084546246,200,256,2
5,1.260116834081811,0.44868301546757705,0.6982467694980001,0.7216301674110742,200,256,4
5,1.2277255491383177,0.4477747502541347,0.7102154882622346,0.717531326916084,300,256,4
5,1.230404161952172,0.4650317896072914,0.7158156024417102,0.7139009251773518,300,128,2
5,1.2172232465674724,0.4468664853384449,0.6680699896653288,0.7387281883473502,200,128,3
5,1.2351089636917876,0.4668483200341761,0.7055351275766129,0.7126127182076192,200,256,3
5,1.235500695486701,0.44777475055188726,0.7027525531141355,0.7154233516735443,100,64,2
5,1.2294059657270966,0.4668483200341761,0.752702211688701,0.6916500762050891,100,128,3
5,1.2275514173897475,0.45867393305905835,0.6932358555456475,0.7210446188706455,300,128,3
5,1.2382221506142161,0.46049046354007983,0.6899680490585356,0.718468204700831,300,128,4
5,1.2606397171003183,0.4495912807351562,0.7119245852082741,0.718468204700831,300,64,3
5,1.2414748776944304,0.45413260674823097,0.7171262683738854,0.7106218525991742,300,256,3
5,1.233165522362296,0.46049046354007983,0.7178201186934767,0.7064059023444442,300,64,4
5,1.2341531274753954,0.44868301571119273,0.6955033090846406,0.7154233517712684,100,256,2
5,1.2443471647846385,0.4586739328154426,0.686791622704317,0.7252605691672572,100,64,3
5,1.2153847263034747,0.4523160766190989,0.7129860839920253,0.7131982667689888,300,64,2
5,1.2228124882284888,0.45504087220528905,0.7046551814904634,0.7201077408974309,200,64,2
5,1.2310344740870214,0.4532243415889255,0.7100756514727169,0.7106218527667011,100,256,3
5,1.2325347030736662,0.4550408719616733,0.7182975020449395,0.7085138774264373,100,64,4
5,1.252945162619817,0.4423251592712333,0.7016761087327026,0.7143693641360379,100,128,2

